window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
3,4.0,3600,353,0.0028328611898017,-1.1944678528302022,-1.3809410806864313,-421.6471520490614,7.882501629051884,-2.2460181639000707,2.2815409082022593,0.650909662918729,3073.0,0.5495750708215298,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0,0.018351472503826197,align_x_vol:with_trend|vol_normal
3,6.0,3600,270,0.007407407407407408,-1.098837815225584,-1.3783994154422097,-296.68621011090767,1.906785659311114,-2.2211719068297064,1.707375013544351,0.5382171593626607,2901.0,0.5592592592592592,0.003703703703703704,0.0,0.0,0.0,0.0,0.008054138592473111,align_x_vol:with_trend|vol_normal
10,6.0,14400,292,0.0,-1.2193222532436456,-1.129701930164738,-356.0420979471445,-0.13387002677069462,-2.26017301708952,1.901506378941492,0.2336520545914324,4739.0,0.7842465753424658,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
5,4.0,14400,336,0.0,-1.5305597868213998,-1.4208524934105746,-514.2680883719903,-0.20383906465156115,-2.249483050809932,4.725269927563379,0.5150758470046671,2731.5,0.9880952380952381,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
5,6.0,14400,293,0.0,-1.3492779543126754,-1.2395682395031307,-395.3384406136139,-0.20389463808200928,-2.249483050809932,2.586167914373874,0.3372745735230534,3002.0,0.9931740614334471,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
10,4.0,14400,359,0.0,-1.3817782920182062,-1.1297912508237546,-496.058406834536,-0.9616755001725665,-2.26017301708952,3.3817058498997206,0.38442908245076524,4711.0,0.807799442896936,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
3,4.0,14400,353,0.0,-1.6771139706584508,-1.6818020624925258,-592.0212316424331,-0.3660376279033999,-2.6728307989235685,5.474757913737971,0.650909662918729,3073.0,0.9886685552407932,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
3,6.0,14400,270,0.0,-1.5545169513514538,-1.405381922406995,-419.71957686489253,-0.3486668806975906,-2.6728307989235685,3.812546400493775,0.5382171593626607,2901.0,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
3,6.0,86400,270,0.0,-1.5545169513514538,-1.405381922406995,-419.71957686489253,-0.3486668806975906,-2.6728307989235685,4.428875484645306,0.5382171593626607,2901.0,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
5,4.0,86400,336,0.0,-1.5305597868213998,-1.4208524934105746,-514.2680883719903,-0.20383906465156115,-2.249483050809932,5.520596638348379,0.5150758470046671,2731.5,0.9880952380952381,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
