window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
3,4.0,86400,1102,0.05172413793103448,0.7065946602227224,-2.229965543034434,778.6673155654402,200.01668992419587,-11.341542749892938,38.88840386326246,1.5247451030343107,505.0,0.9482758620689655,0.05172413793103448,0.04900181488203267,0.04900181488203267,0.04627949183303085,0.04446460980036298,1.288741180682004,align_x_vol:with_trend|unknown
3,6.0,900,387,0.12144702842377261,-1.727442642498808,-2.115089232335185,-668.5203026470388,18.489799853343495,-6.9232671199329845,2.206627270739948,1.7342618806901553,565.0,0.5813953488372093,0.06718346253229975,0.05426356589147287,0.046511627906976744,0.023255813953488372,0.007751937984496124,0.17498381891204912,align_x_vol:with_trend|unknown
3,6.0,3600,387,0.13953488372093023,-1.3026903281502846,-2.2517766750330614,-504.14115699416016,114.88276214375634,-6.9232671199329845,4.842986109139873,1.7342618806901553,565.0,0.7777777777777778,0.09043927648578812,0.06201550387596899,0.05167958656330749,0.04392764857881137,0.01808785529715762,0.4298326379088377,align_x_vol:with_trend|unknown
3,6.0,14400,387,0.08010335917312661,-1.4096017811733546,-2.336800968311277,-545.5158893140882,109.91479247451863,-10.897031246969425,8.844979374781529,1.7342618806901553,565.0,0.8992248062015504,0.06201550387596899,0.05426356589147287,0.04909560723514212,0.041343669250646,0.031007751937984496,0.4461117623447982,align_x_vol:with_trend|unknown
3,6.0,86400,387,0.05167958656330749,-0.09045213060144518,-2.341534088722274,-35.004974542759285,176.27496788550232,-10.897031246969425,27.837422387510117,1.7342618806901553,565.0,0.9483204134366925,0.05167958656330749,0.05167958656330749,0.05167958656330749,0.046511627906976744,0.04392764857881137,0.9658090775904612,align_x_vol:with_trend|unknown
5,4.0,900,749,0.14953271028037382,-1.4089146650243898,-2.111412414563661,-1055.277084103268,18.489799853343495,-7.198340120939835,2.5182561947065905,1.5720557267959296,600.0,0.5647530040053405,0.09212283044058744,0.07209612817089453,0.049399198931909215,0.03337783711615487,0.010680907877169559,0.2486024482267498,align_x_vol:with_trend|unknown
5,4.0,3600,749,0.1602136181575434,-0.9853984942865794,-2.1886919995508447,-738.063472220648,114.88276214375634,-7.198340120939835,5.5253960180738995,1.5720557267959296,600.0,0.7676902536715621,0.11615487316421896,0.08945260347129506,0.0774365821094793,0.05874499332443257,0.03337783711615487,0.5313184632864576,align_x_vol:with_trend|unknown
5,4.0,14400,749,0.09212283044058744,-0.8320655526125261,-2.2551514374419184,-623.2170989067821,109.91479247451863,-10.897031246969425,12.83363684011338,1.5720557267959296,600.0,0.890520694259012,0.08277703604806408,0.07610146862483311,0.07076101468624833,0.06008010680907877,0.04539385847797063,0.6469723227267249,align_x_vol:with_trend|unknown
5,4.0,86400,749,0.06675567423230974,1.444884777300642,-2.2723842209384784,1082.2186981981808,200.01668992419587,-10.897031246969425,35.207078333231614,1.5720557267959296,600.0,0.9332443257676902,0.06675567423230974,0.06542056074766354,0.06542056074766354,0.06141522029372497,0.05874499332443257,1.5894642634060676,align_x_vol:with_trend|unknown
5,6.0,900,258,0.12403100775193798,-1.8855681226893668,-2.1799739403225864,-486.4765756538566,9.109997050801663,-15.406475146865285,2.3924846449425936,1.832315724080642,507.5,0.6046511627906976,0.07364341085271318,0.05813953488372093,0.046511627906976744,0.01937984496124031,0.0,0.15147895461826405,align_x_vol:with_trend|unknown
5,6.0,3600,258,0.13178294573643412,-1.4576072626026233,-2.2951314175367,-376.06267375147684,105.54301488102463,-15.406475146865285,5.206943499671642,1.832315724080642,507.5,0.7829457364341085,0.08527131782945736,0.07751937984496124,0.06589147286821706,0.05426356589147287,0.01937984496124031,0.3983002394727407,align_x_vol:with_trend|unknown
